Cycle,Time (s),T_gob (Parison Temperature),T_mold (Mold Temperature),t_contact (°),t_cooling (°)
0,13.36,994.486639626146,398.9362444263829,106.0,120.0
1,26.72,993.1263132338642,397.4591786874191,106.0,120.0
2,40.08,991.8271339694952,396.0645880499363,106.0,120.0
3,53.44,990.5878410328675,394.7483908862118,106.0,120.0
4,66.8,989.4070049091116,393.50664334336295,106.0,120.0
5,80.16,988.2830267362642,392.33554391017316,106.0,120.0
6,93.52,987.2141492546777,391.231437397523,106.0,120.0
7,106.88,986.1984761869686,390.19081799544426,106.0,120.0
8,120.24,985.2339973189944,389.2103311937398,106.0,120.0
9,133.6,984.3186169587561,388.2867744555067,106.0,120.0
10,146.95999999999998,983.450183843894,387.41709661538897,106.0,120.0
11,160.32,982.6265209262367,386.5983960393617,106.0,120.0
12,173.68,981.8454537761858,385.82791763292636,106.0,120.0
13,187.04000000000002,981.1048366258163,385.1030488221012,106.0,120.0
14,200.40000000000003,980.4025753219942,384.42131465788435,106.0,120.0
15,213.76000000000005,979.7366466975293,383.78037221111407,106.0,120.0
16,227.12000000000006,979.105114087266,383.17800443175423,106.0,120.0
17,240.48000000000008,978.5061389131155,382.61211364575564,106.0,120.0
18,253.8400000000001,977.9379884291448,382.08071485516774,106.0,120.0
19,267.2000000000001,977.3990398531698,381.5819289944528,106.0,120.0
20,280.5600000000001,976.8877812153385,381.11397627938067,106.0,120.0
21,293.92000000000013,976.4028093297396,380.6751697656111,106.0,120.0
22,307.28000000000014,975.9428253473221,380.26390921308274,106.0,120.0
23,320.64000000000016,975.5066283777422,379.8786753305201,106.0,120.0
24,334.00000000000017,975.0931076785928,379.51802445253884,106.0,120.0
25,347.3600000000002,974.701233901272,379.18058368070314,106.0,120.0
26,360.7200000000002,974.3300498557194,378.8650465002508,106.0,120.0
27,374.0800000000002,973.9786612130544,378.57016886664496,106.0,120.0
28,387.4400000000002,973.646227507721,378.2947657411942,106.0,120.0
29,400.80000000000024,973.3319537344361,378.03770804307,106.0,120.0
30,414.16000000000025,973.0350827625014,377.79791997632356,106.0,120.0
31,427.52000000000027,972.7548887178004,377.5743766849446,106.0,120.0
32,440.8800000000003,972.4906714135464,377.36610218638464,106.0,120.0
33,454.2400000000003,972.241751848865,377.17216753402187,106.0,120.0
34,467.6000000000003,972.0074687423293,376.9916891612255,106.0,120.0
35,480.9600000000003,971.7871760261786,376.82382736359006,106.0,120.0
36,494.32000000000033,971.5802411979115,376.6677848809498,106.0,120.0
37,507.68000000000035,971.3860444070808,376.52280554655647,106.0,120.0
38,521.0400000000003,971.2039781464268,376.3881729768228,106.0,120.0
39,534.4000000000003,971.0334474168533,376.2632092809534,106.0,120.0
40,547.7600000000003,970.8738702415208,376.1472737753706,106.0,120.0
41,561.1200000000003,970.7246784151912,376.0397616928505,106.0,120.0
42,574.4800000000004,970.5853183898381,375.94010288063083,106.0,120.0
43,587.8400000000004,970.4552522122725,375.84776048536025,106.0,120.0
44,601.2000000000004,970.3339584460799,375.7622296256467,106.0,120.0
45,614.5600000000004,970.2209330255314,375.6830360551344,106.0,120.0
46,627.9200000000004,970.1156900032114,375.6097348206028,106.0,120.0
47,641.2800000000004,970.0177621655805,375.54190892056704,106.0,120.0
48,654.6400000000004,969.9267015020093,375.479167970398,106.0,120.0
49,668.0000000000005,969.8420795208982,375.42114688011367,106.0,120.0
50,681.3600000000005,969.763487413933,375.3675045508745,106.0,120.0
51,694.7200000000005,969.6905360751011,375.317922595806,106.0,120.0
52,708.0800000000005,969.6228559842688,375.27210409029016,106.0,120.0
53,721.4400000000005,969.5600969683007,375.2297723562194,106.0,120.0
54,734.8000000000005,969.501927854059,375.19066978403754,106.0,120.0
55,748.1600000000005,969.4480360279462,375.15455669571355,106.0,120.0
56,761.5200000000006,969.3981269172865,375.121210251098,106.0,120.0
57,774.8800000000006,969.3519234077991,375.0904233994803,106.0,120.0
58,788.2400000000006,969.3091652107374,375.0620038775637,106.0,120.0
59,801.6000000000006,969.2696081926538,375.0357732545215,106.0,120.0
60,814.9600000000006,969.2330236785992,375.0115660243211,106.0,120.0
61,828.3200000000006,969.1991977394448,374.989228745083,106.0,120.0
62,841.6800000000006,969.167930471659,374.96861922487005,106.0,120.0
63,855.0400000000006,969.1390352776009,374.94960575300155,106.0,120.0
64,868.4000000000007,969.1123381524633,374.93206637574445,106.0,120.0
65,881.7600000000007,969.0876769832627,374.9158882150195,106.0,120.0
66,895.1200000000007,969.0649008645378,374.9009668286152,106.0,120.0
67,908.4800000000007,969.0438694339392,374.88720561027833,106.0,120.0
68,921.8400000000007,969.024452230367,374.87451522798005,106.0,120.0
69,935.2000000000007,969.0065280772164,374.8628130985869,106.0,120.0
70,948.5600000000007,968.9899844912122,374.8520228971721,106.0,120.0
71,961.9200000000008,968.9747171188618,374.8420740991519,106.0,120.0
72,975.2800000000008,968.960629199971,374.832901553501,106.0,120.0
73,988.6400000000008,968.9476310591144,374.82444508528073,106.0,120.0
74,1002.0000000000008,968.9356396242267,374.8166491257977,106.0,120.0
75,1015.3600000000008,968.9245779725807,374.8094623687215,106.0,120.0
76,1028.7200000000007,968.9143749028611,374.80283745057926,106.0,120.0
77,1042.0800000000006,968.9049645330108,374.79673065408986,106.0,120.0
78,1055.4400000000005,968.89628592278,374.79110163287265,106.0,120.0
79,1068.8000000000004,968.88828272011,374.7859131561323,106.0,120.0
80,1082.1600000000003,968.8809028300805,374.78113087199335,106.0,120.0
81,1095.5200000000002,968.8740981057614,374.7767230882251,106.0,120.0
82,1108.88,968.8678240594772,374.77266056916625,106.0,120.0
83,1122.24,968.8620395937727,374.7689163477276,106.0,120.0
84,1135.6,968.8567067505545,374.7654655514222,106.0,120.0
85,1148.9599999999998,968.8517904779227,374.7622852414242,106.0,120.0
86,1162.3199999999997,968.8472584130918,374.7593542637325,106.0,120.0
87,1175.6799999999996,968.843080680871,374.7566531115661,106.0,120.0
88,1189.0399999999995,968.8392297064584,374.7541637981742,106.0,120.0
89,1202.3999999999994,968.8356800416448,374.7518697393118,106.0,120.0
90,1215.7599999999993,968.832408203809,374.7497556446591,106.0,120.0
91,1229.1199999999992,968.8293925265141,374.7478074175292,106.0,120.0
92,1242.479999999999,968.8266130211096,374.74601206225583,106.0,120.0
93,1255.839999999999,968.8240512487317,374.7443575986699,106.0,120.0
94,1269.199999999999,968.8216902014334,374.7428329831616,106.0,120.0
95,1282.5599999999988,968.8195141926086,374.7414280358071,106.0,120.0
96,1295.9199999999987,968.8175087553802,374.7401333731171,106.0,120.0
97,1309.2799999999986,968.8156605486889,374.73894034597663,106.0,120.0
98,1322.6399999999985,968.813957270465,374.7378409823838,106.0,120.0
99,1335.9999999999984,968.8123875774029,374.73682793462046,106.0,120.0
100,1349.3599999999983,968.8109410107352,374.7358944305209,106.0,120.0
101,1362.7199999999982,968.8096079279377,374.7350342285121,106.0,120.0
102,1376.079999999998,968.8083794391683,374.73424157616085,106.0,120.0
103,1389.439999999998,968.8072473490774,374.7335111719307,106.0,120.0
104,1402.799999999998,968.8062041027948,374.7328381299158,106.0,120.0
105,1416.1599999999978,968.8052427360554,374.7322179473306,106.0,120.0
106,1429.5199999999977,968.8043568293169,374.731646474522,106.0,120.0
107,1442.8799999999976,968.8035404653232,374.73111988732404,106.0,120.0
108,1456.2399999999975,968.8027881899727,374.73063466156754,106.0,120.0
